Constellation Brands Inc | Price History                                          17-Nov-2021 01:05,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
STZ,,,,,,,,,,,,,,,
Interval: Daily,,,,,,,,,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Currency Conversion: USD,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
STZ Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Price,,,Volume,,,,,Up/Down,,Price Change (Close-Close),,,Turnover,,
High,244.75,03-May-2021,Max,"17,157,524",09-Jan-2019,Advancing,"963,408,750",Up,646,Up,+17.21%,24-Mar-2020,Max,"2,648,211,215.10",09-Jan-2019
Low,104.28,23-Mar-2020,Min,"266,940",24-Dec-2020,Declining,"951,014,284",Down,611,Down,-15.24%,12-Mar-2020,Min,"57,352,415.39",24-Dec-2020
Avg,197.34,,Avg,"1,523,236",,Total,"1,917,753,503",Unch,1,Period,+50.73%,16-Nov-2016 - 16-Nov-2021,Avg,"294,556,277.46",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
STZ History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,,,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow,,,,,,
04-Oct-2018,222.10,+11.34,+5.38%,224.31,216.20,225.76,"7,428,357","1,639,352,041.76","2,656,545,268.41",,,,,,
03-Oct-2018,210.76,-1.97,-0.93%,213.61,210.52,213.78,"2,627,338","556,924,732.45","1,017,193,226.65",,,,,,
02-Oct-2018,212.73,-0.59,-0.28%,212.88,211.77,214.23,"1,765,530","375,608,512.24","1,574,117,959.11",,,,,,
01-Oct-2018,213.32,-2.30,-1.07%,216.31,212.85,216.55,"1,342,733","287,341,691.27","1,949,726,471.34",,,,,,
28-Sep-2018,215.62,+0.68,+0.32%,216.22,215.20,219.08,"2,434,148","525,734,745.31","2,237,068,162.61",,,,,,
27-Sep-2018,214.94,+1.18,+0.55%,213.50,213.50,216.38,"1,128,090","242,854,494.80","1,711,333,417.30",,,,,,
26-Sep-2018,213.76,-0.75,-0.35%,215.46,213.51,216.45,"1,338,212","287,347,086.16","1,468,478,922.50",,,,,,
25-Sep-2018,214.51,-1.81,-0.84%,215.48,212.92,216.86,"1,555,795","333,749,858.96","1,755,826,008.66",,,,,,
24-Sep-2018,216.32,-0.62,-0.29%,216.39,215.31,217.02,"928,594","200,843,712.20","2,089,575,867.63",,,,,,
21-Sep-2018,216.94,-1.63,-0.75%,218.00,216.64,219.60,"2,055,336","447,341,138.93","2,290,419,579.82",,,,,,
20-Sep-2018,218.57,+3.40,+1.58%,215.20,214.50,219.43,"1,882,852","409,873,371.04","2,737,760,718.75",,,,,,
19-Sep-2018,215.17,+1.65,+0.77%,217.89,214.29,218.50,"1,896,076","409,299,763.01","2,327,887,347.71",,,,,,
18-Sep-2018,213.52,+1.19,+0.56%,212.21,211.31,214.87,"1,391,047","296,755,010.73","1,918,587,584.70",,,,,,
17-Sep-2018,212.33,+0.28,+0.13%,213.20,210.22,213.90,"1,942,000","412,225,515.37","1,621,832,573.97",,,,,,
14-Sep-2018,212.05,-2.78,-1.29%,211.41,210.73,214.14,"2,111,118","447,466,723.64","1,209,607,058.61",,,,,,
13-Sep-2018,214.83,-1.16,-0.54%,216.50,214.40,217.75,"1,723,186","370,829,359.25","1,657,073,782.25",,,,,,
12-Sep-2018,215.99,+0.73,+0.34%,215.66,215.41,219.13,"1,922,222","417,002,339.81","2,027,903,141.50",,,,,,
11-Sep-2018,215.26,+3.20,+1.51%,212.00,211.57,216.75,"2,618,834","563,101,311.44","1,610,900,801.69",,,,,,
10-Sep-2018,212.06,+0.34,+0.16%,209.11,208.50,214.50,"2,217,521","471,606,681.25","1,047,799,490.25",,,,,,
07-Sep-2018,211.72,+3.10,+1.49%,209.90,207.92,211.73,"2,115,307","445,849,358.63","576,192,809.00",,,,,,
06-Sep-2018,208.62,-1.13,-0.54%,209.20,206.38,209.79,"1,687,106","350,588,691.39","130,343,450.36",,,,,,
05-Sep-2018,209.75,-1.36,-0.64%,211.38,207.94,211.50,"1,973,621","413,665,166.24","480,932,141.75",,,,,,
04-Sep-2018,211.11,+2.91,+1.40%,207.96,206.35,211.30,"1,717,645","360,734,749.74","894,597,308.00",,,,,,
31-Aug-2018,208.20,-0.56,-0.27%,208.65,207.36,209.91,"1,980,501","412,462,255.79","533,862,558.26",,,,,,
30-Aug-2018,208.76,-0.49,-0.23%,208.58,208.08,210.65,"1,835,780","383,993,564.04","946,324,814.05",,,,,,
29-Aug-2018,209.25,+2.08,+1.00%,207.77,207.29,209.94,"1,506,772","315,034,790.60","1,330,318,378.09",,,,,,
28-Aug-2018,207.17,-3.09,-1.47%,210.69,206.27,211.38,"2,077,802","432,167,150.48","1,015,283,587.49",,,,,,
27-Aug-2018,210.26,+2.66,+1.28%,210.00,207.67,210.80,"3,046,230","638,763,533.34","1,447,450,737.97",,,,,,
24-Aug-2018,207.60,+2.72,+1.33%,204.61,204.61,208.71,"2,190,757","454,825,932.40","808,687,204.63",,,,,,
23-Aug-2018,204.88,+1.52,+0.75%,202.85,202.15,205.34,"1,900,279","388,762,283.72","353,861,272.23",,,,,,
22-Aug-2018,203.36,+2.87,+1.43%,201.70,200.19,204.55,"2,467,521","500,939,427.90","-34,901,011.49",,,,,,
21-Aug-2018,200.49,-2.41,-1.19%,203.00,200.06,204.95,"2,943,694","594,138,703.69","-535,840,439.39",,,,,,
20-Aug-2018,202.90,-1.03,-0.51%,199.20,199.09,203.80,"2,556,888","516,917,035.89","58,298,264.30",,,,,,
17-Aug-2018,203.93,+1.45,+0.72%,202.34,198.85,204.54,"3,753,984","759,478,502.57","575,215,300.19",,,,,,
16-Aug-2018,202.48,-5.79,-2.78%,209.20,201.55,209.50,"5,190,139","1,055,602,084.05","-184,263,202.38",,,,,,
15-Aug-2018,208.27,-13.54,-6.10%,208.74,201.51,212.53,"10,095,071","2,081,866,160.15","871,338,881.67",,,,,,
14-Aug-2018,221.81,+7.98,+3.73%,215.05,214.44,222.22,"4,415,537","971,295,346.60","2,953,205,041.81",,,,,,
13-Aug-2018,213.83,+0.53,+0.25%,213.00,212.68,214.01,"1,136,687","242,752,224.78","1,981,909,695.22",,,,,,
10-Aug-2018,213.30,-1.48,-0.69%,214.00,212.91,214.81,"1,151,406","246,043,374.84","1,739,157,470.44",,,,,,
09-Aug-2018,214.78,+0.37,+0.17%,213.97,213.00,216.51,"1,038,684","223,781,491.18","1,985,200,845.28",,,,,,
08-Aug-2018,214.41,-2.72,-1.25%,216.53,213.99,216.79,"1,906,068","409,209,224.94","1,761,419,354.10",,,,,,
07-Aug-2018,217.13,+4.61,+2.17%,212.52,212.31,217.48,"1,894,287","409,330,445.56","2,170,628,579.05",,,,,,
06-Aug-2018,212.52,-1.49,-0.70%,213.48,211.65,214.93,"1,516,274","323,613,785.13","1,761,298,133.48",,,,,,
03-Aug-2018,214.01,+6.07,+2.92%,207.50,205.35,214.50,"3,461,109","731,757,987.86","2,084,911,918.61",,,,,,
02-Aug-2018,207.94,-0.52,-0.25%,208.25,207.31,210.00,"1,588,277","330,477,191.14","1,353,153,930.75",,,,,,
01-Aug-2018,208.46,-1.77,-0.84%,210.14,208.46,210.67,"1,556,458","325,910,397.57","1,683,631,121.89",,,,,,
31-Jul-2018,210.23,+0.56,+0.27%,210.15,208.29,210.83,"2,519,881","529,050,650.79","2,009,541,519.46",,,,,,
30-Jul-2018,209.67,-4.28,-2.00%,212.24,208.75,214.15,"2,128,255","447,184,729.96","1,480,490,868.67",,,,,,
27-Jul-2018,213.95,-0.68,-0.32%,214.06,212.94,215.82,"1,578,335","338,175,338.78","1,927,675,598.63",,,,,,
26-Jul-2018,214.63,-0.52,-0.24%,214.95,214.12,215.90,"1,552,599","333,640,015.16","2,265,850,937.40",,,,,,
25-Jul-2018,215.15,+0.55,+0.26%,214.14,214.14,215.72,"1,732,610","372,600,967.44","2,599,490,952.56",,,,,,
24-Jul-2018,214.60,-0.40,-0.19%,215.01,213.67,215.98,"1,545,979","331,766,727.90","2,226,889,985.12",,,,,,
23-Jul-2018,215.00,-0.96,-0.44%,216.00,214.40,216.88,"893,723","192,233,718.75","2,558,656,713.01",,,,,,
20-Jul-2018,215.96,+0.14,+0.06%,215.30,215.00,217.02,"993,513","214,617,986.36","2,750,890,431.77",,,,,,
19-Jul-2018,215.82,+1.46,+0.68%,213.31,213.31,217.34,"1,196,252","258,345,444.42","2,536,272,445.41",,,,,,
18-Jul-2018,214.36,+0.51,+0.24%,214.00,211.35,214.56,"2,458,449","524,939,884.75","2,277,927,000.99",,,,,,
17-Jul-2018,213.85,+0.40,+0.19%,213.72,213.62,215.37,"1,931,808","414,247,693.42","1,752,987,116.24",,,,,,
16-Jul-2018,213.45,-2.05,-0.95%,215.35,211.92,216.22,"2,234,757","477,468,597.39","1,338,739,422.82",,,,,,
13-Jul-2018,215.50,-2.02,-0.93%,217.24,215.04,218.12,"1,962,696","424,073,326.58","1,816,208,020.21",,,,,,
12-Jul-2018,217.52,+0.17,+0.08%,218.20,216.68,218.54,"1,100,902","239,268,651.69","2,240,281,346.79",,,,,,
11-Jul-2018,217.35,-0.63,-0.29%,217.28,215.92,217.81,"979,747","212,442,041.36","2,001,012,695.09",,,,,,
10-Jul-2018,217.98,-0.32,-0.15%,217.41,216.06,218.95,"1,083,301","236,050,098.93","2,213,454,736.45",,,,,,
09-Jul-2018,218.30,+3.32,+1.54%,215.43,215.28,219.70,"1,645,232","358,476,308.76","2,449,504,835.39",,,,,,
06-Jul-2018,214.98,-0.76,-0.35%,215.64,214.13,215.94,"1,480,718","318,402,647.59","2,091,028,526.63",,,,,,
05-Jul-2018,215.74,+0.75,+0.35%,215.19,214.32,216.62,"1,530,516","329,446,215.28","2,409,431,174.21",,,,,,
03-Jul-2018,214.99,-0.92,-0.43%,215.00,212.13,216.31,"1,205,853","258,340,974.19","2,079,984,958.93",,,,,,
02-Jul-2018,215.91,-2.96,-1.35%,216.07,213.67,217.86,"3,523,601","759,604,915.54","2,338,325,933.12",,,,,,
29-Jun-2018,218.87,-13.46,-5.79%,220.61,215.25,224.14,"10,214,937","2,249,076,725.64","3,097,930,848.66",,,,,,
28-Jun-2018,232.33,+2.92,+1.27%,230.00,228.89,233.00,"2,090,900","483,461,049.22","5,347,007,574.30",,,,,,
27-Jun-2018,229.41,-0.24,-0.10%,228.23,228.23,232.20,"1,845,039","424,691,439.31","4,863,546,525.07",,,,,,
26-Jun-2018,229.65,+1.61,+0.71%,228.91,227.43,232.64,"1,232,398","283,503,355.30","5,288,237,964.38",,,,,,
25-Jun-2018,228.04,-3.48,-1.50%,231.25,227.22,231.25,"1,373,473","313,924,064.17","5,004,734,609.08",,,,,,
22-Jun-2018,231.52,+0.16,+0.07%,231.66,230.66,232.88,"1,345,872","311,937,339.05","5,318,658,673.25",,,,,,
21-Jun-2018,231.36,-0.14,-0.06%,232.81,229.74,233.10,"940,742","217,533,782.04","5,006,721,334.20",,,,,,
20-Jun-2018,231.50,-0.35,-0.15%,233.27,231.41,234.26,"975,353","226,589,495.49","5,224,255,116.24",,,,,,
19-Jun-2018,231.85,-0.41,-0.18%,232.32,231.44,233.10,"880,796","204,441,990.96","5,450,844,611.73",,,,,,
18-Jun-2018,232.26,-0.76,-0.33%,231.86,230.42,232.46,"1,082,360","251,032,533.53","5,655,286,602.68",,,,,,
15-Jun-2018,233.02,+0.84,+0.36%,230.00,228.91,233.07,"2,371,587","549,924,091.36","5,906,319,136.21",,,,,,
14-Jun-2018,232.18,+2.95,+1.29%,230.46,230.24,232.24,"1,098,314","254,233,897.12","5,356,395,044.85",,,,,,
13-Jun-2018,229.23,-0.48,-0.21%,229.88,228.54,231.21,"996,141","228,795,597.37","5,102,161,147.73",,,,,,
12-Jun-2018,229.71,+3.62,+1.60%,225.49,225.49,230.71,"1,532,281","351,660,897.95","5,330,956,745.10",,,,,,
11-Jun-2018,226.09,-1.19,-0.52%,226.15,225.14,227.54,"1,025,117","232,136,654.97","4,979,295,847.15",,,,,,
08-Jun-2018,227.28,+3.75,+1.68%,223.96,223.77,228.43,"1,072,369","243,556,551.23","5,211,432,502.12",,,,,,
07-Jun-2018,223.53,-0.83,-0.37%,224.18,222.97,225.77,"1,070,636","239,718,368.58","4,967,875,950.89",,,,,,
06-Jun-2018,224.36,-0.91,-0.40%,224.29,223.63,226.73,"1,660,747","373,791,636.96","5,207,594,319.47",,,,,,
05-Jun-2018,225.27,-0.56,-0.25%,226.29,224.60,227.67,"1,283,475","289,753,121.03","5,581,385,956.43",,,,,,
04-Jun-2018,225.83,+3.08,+1.38%,223.37,222.29,226.10,"1,609,004","361,029,366.09","5,871,139,077.47",,,,,,
01-Jun-2018,222.75,-0.33,-0.15%,223.99,221.84,224.06,"1,586,757","354,155,985.85","5,510,109,711.38",,,,,,
31-May-2018,223.08,-1.76,-0.78%,224.83,222.23,224.83,"1,302,540","290,647,696.05","5,864,265,697.23",,,,,,
30-May-2018,224.84,+5.10,+2.32%,220.50,220.27,225.75,"1,705,117","382,700,896.77","6,154,913,393.29",,,,,,
29-May-2018,219.74,+2.93,+1.35%,216.89,216.76,220.74,"1,594,464","349,855,510.06","5,772,212,496.52",,,,,,
25-May-2018,216.81,-0.15,-0.07%,217.28,216.36,218.25,"994,300","215,725,632.22","5,422,356,986.46",,,,,,
24-May-2018,216.96,+0.38,+0.18%,216.70,214.50,217.37,"1,244,470","269,090,797.03","5,638,082,618.68",,,,,,
23-May-2018,216.58,+0.66,+0.31%,215.40,215.40,218.05,"1,475,683","319,714,126.81","5,368,991,821.65",,,,,,
22-May-2018,215.92,-3.42,-1.56%,219.44,214.95,219.78,"2,164,272","468,471,235.87","5,049,277,694.84",,,,,,
21-May-2018,219.34,-0.96,-0.44%,221.04,218.20,221.29,"1,186,014","260,152,343.64","5,517,748,930.71",,,,,,
18-May-2018,220.30,-1.85,-0.83%,221.00,219.90,221.89,"1,676,714","369,570,284.54","5,777,901,274.35",,,,,,
17-May-2018,222.15,+0.69,+0.31%,221.79,221.10,223.06,"820,918","182,339,860.87","6,147,471,558.88",,,,,,
16-May-2018,221.46,-0.31,-0.14%,221.91,221.23,224.19,"934,530","207,469,652.22","5,965,131,698.01",,,,,,
15-May-2018,221.77,-0.05,-0.02%,220.54,219.98,222.00,"1,169,745","259,001,650.82","6,172,601,350.23",,,,,,
14-May-2018,221.82,+1.59,+0.72%,220.80,220.71,222.44,"1,739,064","385,493,064.47","6,431,603,001.04",,,,,,
11-May-2018,220.23,-0.16,-0.07%,220.27,219.50,221.37,"1,167,396","257,047,031.72","6,046,109,936.57",,,,,,
10-May-2018,220.39,-1.58,-0.71%,223.78,219.90,223.90,"1,631,026","360,637,533.36","6,303,156,968.29",,,,,,
09-May-2018,221.97,+0.51,+0.23%,220.87,218.62,222.76,"1,264,301","279,694,930.63","6,663,794,501.65",,,,,,
08-May-2018,221.46,-2.34,-1.05%,222.59,220.64,223.90,"1,424,339","316,082,530.34","6,384,099,571.02",,,,,,
07-May-2018,223.80,+2.52,+1.14%,221.47,221.40,223.92,"1,395,192","311,094,122.81","6,700,182,101.36",,,,,,
04-May-2018,221.28,-2.79,-1.25%,223.96,219.26,224.29,"1,962,192","434,786,734.58","6,389,087,978.55",,,,,,
03-May-2018,224.07,-2.73,-1.20%,226.76,223.71,227.35,"1,256,098","282,377,561.58","6,823,874,713.13",,,,,,
02-May-2018,226.80,-2.88,-1.25%,228.54,224.70,229.25,"2,866,259","649,104,432.25","7,106,252,274.70",,,,,,
01-May-2018,229.68,-3.45,-1.48%,232.33,227.70,232.82,"954,791","218,991,085.11","7,755,356,706.95",,,,,,
30-Apr-2018,233.13,-1.09,-0.47%,234.50,232.59,236.62,"1,341,406","313,723,408.99","7,974,347,792.06",,,,,,
27-Apr-2018,234.22,+5.49,+2.40%,228.74,228.44,234.38,"1,410,847","327,881,709.01","8,288,071,201.05",,,,,,
26-Apr-2018,228.73,+1.86,+0.82%,228.00,227.54,229.91,"773,974","177,310,647.66","7,960,189,492.04",,,,,,
25-Apr-2018,226.87,+0.64,+0.28%,225.39,224.79,227.50,"828,230","187,346,286.97","7,782,878,844.39",,,,,,
24-Apr-2018,226.23,-2.03,-0.89%,229.32,224.46,229.53,"1,025,124","232,389,899.60","7,595,532,557.41",,,,,,
23-Apr-2018,228.26,+0.68,+0.30%,227.49,226.66,228.92,"879,976","200,566,017.84","7,827,922,457.01",,,,,,
20-Apr-2018,227.58,-2.04,-0.89%,229.31,226.82,229.99,"1,183,181","269,553,876.70","7,627,356,439.17",,,,,,
19-Apr-2018,229.62,-2.54,-1.09%,230.81,228.20,231.80,"1,123,579","257,879,385.55","7,896,910,315.86",,,,,,
18-Apr-2018,232.16,+0.76,+0.33%,231.46,230.82,232.95,"1,595,322","370,403,415.31","8,154,789,701.41",,,,,,
17-Apr-2018,231.40,+4.38,+1.93%,227.65,226.91,233.19,"1,530,940","353,193,940.79","7,784,386,286.10",,,,,,
16-Apr-2018,227.02,+3.13,+1.40%,226.13,225.48,228.32,"951,701","216,216,783.33","7,431,192,345.31",,,,,,
13-Apr-2018,223.89,-0.33,-0.15%,225.31,222.37,225.91,"1,261,332","282,151,932.03","7,214,975,561.98",,,,,,
12-Apr-2018,224.22,-1.23,-0.55%,226.73,224.16,227.61,"1,177,948","265,429,582.23","7,497,127,494.01",,,,,,
11-Apr-2018,225.45,-0.62,-0.27%,225.11,224.08,226.46,"1,311,133","295,707,025.56","7,762,557,076.24",,,,,,
10-Apr-2018,226.07,-0.14,-0.06%,227.43,225.15,227.68,"990,826","224,159,097.41","8,058,264,101.80",,,,,,
09-Apr-2018,226.21,-0.98,-0.43%,228.00,225.94,228.70,"1,155,160","262,417,063.24","8,282,423,199.20",,,,,,
06-Apr-2018,227.19,-2.74,-1.19%,229.00,226.90,231.22,"1,681,839","384,976,762.68","8,544,840,262.44",,,,,,
05-Apr-2018,229.93,+3.48,+1.54%,227.61,227.17,231.07,"1,900,937","436,392,928.11","8,929,817,025.12",,,,,,
04-Apr-2018,226.45,+1.36,+0.60%,224.00,222.60,227.42,"1,882,291","424,551,972.61","8,493,424,097.01",,,,,,
03-Apr-2018,225.09,-3.07,-1.35%,226.32,224.20,227.00,"2,756,952","621,814,686.32","8,068,872,124.40",,,,,,
02-Apr-2018,228.16,+0.24,+0.11%,229.48,226.49,229.80,"2,385,208","544,538,674.24","8,690,686,810.73",,,,,,
29-Mar-2018,227.92,+7.43,+3.37%,229.90,224.01,230.90,"4,307,495","983,487,879.22","8,146,148,136.48",,,,,,
28-Mar-2018,220.49,+2.02,+0.92%,218.47,217.25,221.77,"1,836,639","403,764,453.79","7,162,660,257.26",,,,,,
27-Mar-2018,218.47,-1.88,-0.85%,221.32,217.58,222.90,"1,851,632","407,413,516.97","6,758,895,803.48",,,,,,
26-Mar-2018,220.35,-0.57,-0.26%,222.69,218.88,224.05,"1,839,762","405,476,591.42","7,166,309,320.45",,,,,,
23-Mar-2018,220.92,-3.31,-1.48%,224.36,219.63,227.21,"2,232,831","497,235,952.61","7,571,785,911.87",,,,,,
22-Mar-2018,224.23,-1.84,-0.81%,225.68,223.92,226.89,"1,101,439","247,961,449.78","8,069,021,864.48",,,,,,
21-Mar-2018,226.07,-1.54,-0.68%,228.05,225.42,228.05,"1,350,518","306,108,480.05","8,316,983,314.26",,,,,,
20-Mar-2018,227.61,+1.26,+0.56%,226.84,225.53,228.49,"982,453","223,277,676.38","8,623,091,794.31",,,,,,
19-Mar-2018,226.35,-2.19,-0.96%,228.04,225.17,228.27,"891,340","202,059,140.67","8,399,814,117.93",,,,,,
16-Mar-2018,228.54,+1.65,+0.73%,227.52,226.16,229.19,"1,263,527","288,279,650.35","8,601,873,258.60",,,,,,
15-Mar-2018,226.89,-0.50,-0.22%,227.53,226.41,229.00,"1,048,917","238,556,882.91","8,313,593,608.25",,,,,,
14-Mar-2018,227.39,-0.55,-0.24%,228.38,225.77,228.53,"672,196","152,746,140.88","8,552,150,491.16",,,,,,
13-Mar-2018,227.94,-2.21,-0.96%,230.28,227.11,230.40,"1,119,157","255,521,693.70","8,704,896,632.04",,,,,,
12-Mar-2018,230.15,-0.19,-0.08%,230.50,228.69,231.83,"1,760,012","405,184,178.14","8,960,418,325.74",,,,,,
09-Mar-2018,230.34,+2.64,+1.16%,228.87,227.81,230.35,"1,766,569","405,813,272.87","9,365,602,503.88",,,,,,
08-Mar-2018,227.70,+3.79,+1.69%,224.89,224.06,228.25,"1,553,102","351,970,398.71","8,959,789,231.01",,,,,,
07-Mar-2018,223.91,+1.35,+0.61%,220.13,219.49,224.27,"1,384,478","308,487,027.61","8,607,818,832.30",,,,,,
06-Mar-2018,222.56,+3.04,+1.38%,219.98,219.00,223.14,"1,200,939","265,943,072.46","8,299,331,804.70",,,,,,
05-Mar-2018,219.52,-0.32,-0.15%,218.38,217.51,219.70,"1,042,365","228,356,293.60","8,033,388,732.24",,,,,,
02-Mar-2018,219.84,+3.89,+1.80%,215.68,213.92,220.04,"1,643,418","357,768,390.91","8,261,745,025.84",,,,,,
01-Mar-2018,215.95,+0.47,+0.22%,216.24,213.58,216.77,"1,541,303","332,036,254.28","7,903,976,634.93",,,,,,
28-Feb-2018,215.48,-2.57,-1.18%,219.32,215.48,219.40,"1,314,084","284,689,100.84","7,571,940,380.65",,,,,,
27-Feb-2018,218.05,+0.01,+0.00%,217.48,216.52,219.77,"2,150,006","469,245,951.36","7,856,629,481.49",,,,,,
26-Feb-2018,218.04,+0.58,+0.27%,217.45,215.80,218.82,"1,148,681","249,584,715.59","7,387,383,530.14",,,,,,
23-Feb-2018,217.46,+4.35,+2.04%,214.00,212.91,217.47,"1,498,599","323,502,033.98","7,137,798,814.55",,,,,,
22-Feb-2018,213.11,-0.68,-0.32%,214.29,212.69,217.00,"1,583,358","339,041,562.65","6,814,296,780.57",,,,,,
21-Feb-2018,213.79,-3.54,-1.63%,218.33,209.02,220.65,"2,879,546","620,476,651.67","7,153,338,343.21",,,,,,
