S&P 500 Index | Price History                                          17-Nov-2021 01:14,,,,,,,
,,,,,,,
,,,,,,,
.SPX,,,,,,,
Interval: Daily,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,
Currency Conversion: USD,,,,,,,
,,,,,,,
,,,,,,,
.SPX Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,"4,718.50",05-Nov-2021,Up,716,Up,+9.38%,24-Mar-2020
Low,"2,172.20",16-Nov-2016,Down,541,Down,-11.98%,16-Mar-2020
Avg,"3,060.78",,Unch,1,Period,+115.94%,16-Nov-2016 - 16-Nov-2021
,,,,,,,
,,,,,,,
.SPX History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
27-Jul-2021,"4,401.46",-20.84,-0.47%,"4,416.38","4,372.51","4,416.38",
26-Jul-2021,"4,422.30",+10.51,+0.24%,"4,409.58","4,405.45","4,422.73",
23-Jul-2021,"4,411.79",+44.31,+1.01%,"4,381.20","4,381.20","4,415.18",
22-Jul-2021,"4,367.48",+8.79,+0.20%,"4,361.27","4,350.06","4,369.87",
21-Jul-2021,"4,358.69",+35.63,+0.82%,"4,331.13","4,331.13","4,359.70",
20-Jul-2021,"4,323.06",+64.57,+1.52%,"4,265.11","4,262.05","4,336.84",
19-Jul-2021,"4,258.49",-68.67,-1.59%,"4,296.40","4,233.13","4,296.40",
16-Jul-2021,"4,327.16",-32.87,-0.75%,"4,367.43","4,322.53","4,375.09",
15-Jul-2021,"4,360.03",-14.27,-0.33%,"4,369.02","4,340.70","4,369.02",
14-Jul-2021,"4,374.30",+5.09,+0.12%,"4,380.11","4,362.36","4,393.68",
13-Jul-2021,"4,369.21",-15.42,-0.35%,"4,381.07","4,366.92","4,392.37",
12-Jul-2021,"4,384.63",+15.08,+0.35%,"4,372.41","4,364.03","4,386.68",
09-Jul-2021,"4,369.55",+48.73,+1.13%,"4,329.38","4,329.38","4,371.60",
08-Jul-2021,"4,320.82",-37.31,-0.86%,"4,321.07","4,289.37","4,330.88",
07-Jul-2021,"4,358.13",+14.59,+0.34%,"4,351.01","4,329.79","4,361.88",
06-Jul-2021,"4,343.54",-8.80,-0.20%,"4,356.46","4,314.37","4,356.46",
02-Jul-2021,"4,352.34",+32.40,+0.75%,"4,326.60","4,326.60","4,355.43",
01-Jul-2021,"4,319.94",+22.44,+0.52%,"4,300.73","4,300.73","4,320.66",
30-Jun-2021,"4,297.50",+5.70,+0.13%,"4,290.65","4,287.96","4,302.43",
29-Jun-2021,"4,291.80",+1.19,+0.03%,"4,293.21","4,287.04","4,300.52",
28-Jun-2021,"4,290.61",+9.91,+0.23%,"4,284.90","4,274.67","4,292.14",
25-Jun-2021,"4,280.70",+14.21,+0.33%,"4,274.45","4,271.16","4,286.12",
24-Jun-2021,"4,266.49",+24.65,+0.58%,"4,256.97","4,256.97","4,271.28",
23-Jun-2021,"4,241.84",-4.60,-0.11%,"4,249.27","4,241.43","4,256.60",
22-Jun-2021,"4,246.44",+21.65,+0.51%,"4,224.61","4,217.27","4,255.84",
21-Jun-2021,"4,224.79",+58.34,+1.40%,"4,173.40","4,173.40","4,226.24",
18-Jun-2021,"4,166.45",-55.41,-1.31%,"4,204.78","4,164.40","4,204.78",
17-Jun-2021,"4,221.86",-1.84,-0.04%,"4,220.37","4,196.05","4,232.29",
16-Jun-2021,"4,223.70",-22.89,-0.54%,"4,248.87","4,202.45","4,251.89",
15-Jun-2021,"4,246.59",-8.56,-0.20%,"4,255.28","4,238.35","4,257.16",
14-Jun-2021,"4,255.15",+7.71,+0.18%,"4,248.31","4,234.07","4,255.59",
11-Jun-2021,"4,247.44",+8.26,+0.19%,"4,242.90","4,232.25","4,248.38",
10-Jun-2021,"4,239.18",+19.63,+0.47%,"4,228.56","4,220.34","4,249.74",
09-Jun-2021,"4,219.55",-7.71,-0.18%,"4,232.99","4,218.74","4,237.09",
08-Jun-2021,"4,227.26",+0.74,+0.02%,"4,233.81","4,208.41","4,236.74",
07-Jun-2021,"4,226.52",-3.37,-0.08%,"4,229.34","4,215.66","4,232.34",
04-Jun-2021,"4,229.89",+37.04,+0.88%,"4,206.05","4,206.05","4,233.45",
03-Jun-2021,"4,192.85",-15.27,-0.36%,"4,191.43","4,167.93","4,204.39",
02-Jun-2021,"4,208.12",+6.08,+0.14%,"4,206.82","4,198.27","4,217.37",
01-Jun-2021,"4,202.04",-2.07,-0.05%,"4,216.52","4,197.59","4,234.12",
28-May-2021,"4,204.11",+3.23,+0.08%,"4,210.77","4,203.57","4,218.36",
27-May-2021,"4,200.88",+4.89,+0.12%,"4,201.94","4,197.78","4,213.38",
26-May-2021,"4,195.99",+7.86,+0.19%,"4,191.59","4,184.11","4,202.61",
25-May-2021,"4,188.13",-8.92,-0.21%,"4,205.94","4,182.52","4,213.42",
24-May-2021,"4,197.05",+41.19,+0.99%,"4,170.16","4,170.16","4,209.52",
21-May-2021,"4,155.86",-3.26,-0.08%,"4,168.61","4,151.72","4,188.72",
20-May-2021,"4,159.12",+43.44,+1.06%,"4,121.97","4,121.97","4,172.80",
19-May-2021,"4,115.68",-12.15,-0.29%,"4,098.45","4,061.41","4,116.93",
18-May-2021,"4,127.83",-35.46,-0.85%,"4,165.94","4,125.99","4,169.15",
17-May-2021,"4,163.29",-10.56,-0.25%,"4,169.92","4,142.69","4,171.92",
14-May-2021,"4,173.85",+61.35,+1.49%,"4,129.58","4,129.58","4,183.13",
13-May-2021,"4,112.50",+49.46,+1.22%,"4,074.99","4,074.99","4,131.58",
12-May-2021,"4,063.04",-89.06,-2.14%,"4,130.55","4,056.88","4,134.73",
11-May-2021,"4,152.10",-36.33,-0.87%,"4,150.34","4,111.53","4,162.04",
10-May-2021,"4,188.43",-44.17,-1.04%,"4,228.29","4,188.13","4,236.39",
07-May-2021,"4,232.60",+30.98,+0.74%,"4,210.34","4,201.64","4,238.04",
06-May-2021,"4,201.62",+34.03,+0.82%,"4,169.14","4,147.33","4,202.70",
05-May-2021,"4,167.59",+2.93,+0.07%,"4,177.06","4,160.94","4,187.72",
04-May-2021,"4,164.66",-28.00,-0.67%,"4,179.04","4,128.59","4,179.04",
03-May-2021,"4,192.66",+11.49,+0.27%,"4,191.98","4,188.03","4,209.39",
30-Apr-2021,"4,181.17",-30.30,-0.72%,"4,198.10","4,174.85","4,198.10",
29-Apr-2021,"4,211.47",+28.29,+0.68%,"4,206.14","4,176.81","4,218.78",
28-Apr-2021,"4,183.18",-3.54,-0.08%,"4,185.14","4,181.78","4,201.53",
27-Apr-2021,"4,186.72",-0.90,-0.02%,"4,188.25","4,176.22","4,193.35",
26-Apr-2021,"4,187.62",+7.45,+0.18%,"4,185.03","4,182.36","4,194.19",
23-Apr-2021,"4,180.17",+45.19,+1.09%,"4,138.78","4,138.78","4,194.17",
22-Apr-2021,"4,134.98",-38.44,-0.92%,"4,170.46","4,123.69","4,179.57",
21-Apr-2021,"4,173.42",+38.48,+0.93%,"4,128.42","4,126.35","4,175.02",
20-Apr-2021,"4,134.94",-28.32,-0.68%,"4,159.18","4,118.38","4,159.18",
19-Apr-2021,"4,163.26",-22.21,-0.53%,"4,179.80","4,150.47","4,180.81",
16-Apr-2021,"4,185.47",+15.05,+0.36%,"4,174.14","4,170.75","4,191.31",
15-Apr-2021,"4,170.42",+45.76,+1.11%,"4,139.76","4,139.76","4,173.49",
14-Apr-2021,"4,124.66",-16.93,-0.41%,"4,141.58","4,120.87","4,151.69",
13-Apr-2021,"4,141.59",+13.60,+0.33%,"4,130.10","4,124.43","4,148.00",
12-Apr-2021,"4,127.99",-0.81,-0.02%,"4,124.71","4,114.82","4,131.76",
09-Apr-2021,"4,128.80",+31.63,+0.77%,"4,096.11","4,095.51","4,129.48",
08-Apr-2021,"4,097.17",+17.22,+0.42%,"4,089.95","4,082.54","4,098.19",
07-Apr-2021,"4,079.95",+6.01,+0.15%,"4,074.29","4,068.31","4,083.13",
06-Apr-2021,"4,073.94",-3.97,-0.10%,"4,075.57","4,068.14","4,086.23",
05-Apr-2021,"4,077.91",+58.04,+1.44%,"4,034.44","4,034.44","4,083.42",
01-Apr-2021,"4,019.87",+46.98,+1.18%,"3,992.78","3,992.78","4,020.63",
31-Mar-2021,"3,972.89",+14.34,+0.36%,"3,967.25","3,966.98","3,994.41",
30-Mar-2021,"3,958.55",-12.54,-0.32%,"3,963.34","3,944.35","3,968.01",
29-Mar-2021,"3,971.09",-3.45,-0.09%,"3,969.31","3,943.25","3,981.83",
26-Mar-2021,"3,974.54",+65.02,+1.66%,"3,917.12","3,917.12","3,978.19",
25-Mar-2021,"3,909.52",+20.38,+0.52%,"3,879.34","3,853.50","3,919.54",
24-Mar-2021,"3,889.14",-21.38,-0.55%,"3,919.93","3,889.07","3,942.08",
23-Mar-2021,"3,910.52",-30.07,-0.76%,"3,937.60","3,901.57","3,949.13",
22-Mar-2021,"3,940.59",+27.49,+0.70%,"3,916.48","3,914.16","3,955.31",
19-Mar-2021,"3,913.10",-2.36,-0.06%,"3,913.14","3,886.75","3,930.12",
18-Mar-2021,"3,915.46",-58.66,-1.48%,"3,953.50","3,910.86","3,969.62",
17-Mar-2021,"3,974.12",+11.41,+0.29%,"3,949.57","3,935.74","3,983.87",
16-Mar-2021,"3,962.71",-6.23,-0.16%,"3,973.59","3,953.44","3,981.04",
15-Mar-2021,"3,968.94",+25.60,+0.65%,"3,942.96","3,923.54","3,970.08",
12-Mar-2021,"3,943.34",+4.00,+0.10%,"3,924.52","3,915.21","3,944.99",
11-Mar-2021,"3,939.34",+40.53,+1.04%,"3,915.54","3,915.54","3,960.27",
10-Mar-2021,"3,898.81",+23.37,+0.60%,"3,891.99","3,885.73","3,917.35",
09-Mar-2021,"3,875.44",+54.09,+1.42%,"3,851.93","3,851.93","3,903.76",
08-Mar-2021,"3,821.35",-20.59,-0.54%,"3,844.39","3,819.25","3,881.06",
05-Mar-2021,"3,841.94",+73.47,+1.95%,"3,793.58","3,730.19","3,851.69",
04-Mar-2021,"3,768.47",-51.25,-1.34%,"3,818.53","3,723.34","3,843.67",
03-Mar-2021,"3,819.72",-50.57,-1.31%,"3,863.99","3,818.86","3,874.47",
02-Mar-2021,"3,870.29",-31.53,-0.81%,"3,903.64","3,868.57","3,906.41",
01-Mar-2021,"3,901.82",+90.67,+2.38%,"3,842.51","3,842.51","3,914.50",
26-Feb-2021,"3,811.15",-18.19,-0.48%,"3,839.66","3,789.54","3,861.08",
25-Feb-2021,"3,829.34",-96.09,-2.45%,"3,915.80","3,814.04","3,925.02",
24-Feb-2021,"3,925.43",+44.06,+1.14%,"3,873.71","3,859.60","3,928.65",
23-Feb-2021,"3,881.37",+4.87,+0.13%,"3,857.07","3,805.59","3,895.98",
22-Feb-2021,"3,876.50",-30.21,-0.77%,"3,885.55","3,874.71","3,902.92",
19-Feb-2021,"3,906.71",-7.26,-0.19%,"3,921.16","3,903.07","3,930.41",
18-Feb-2021,"3,913.97",-17.36,-0.44%,"3,915.86","3,885.03","3,921.98",
17-Feb-2021,"3,931.33",-1.26,-0.03%,"3,918.50","3,900.43","3,933.61",
16-Feb-2021,"3,932.59",-2.24,-0.06%,"3,939.61","3,923.85","3,950.43",
12-Feb-2021,"3,934.83",+18.45,+0.47%,"3,911.65","3,905.78","3,937.23",
11-Feb-2021,"3,916.38",+6.50,+0.17%,"3,916.40","3,890.39","3,925.99",
10-Feb-2021,"3,909.88",-1.35,-0.03%,"3,920.78","3,884.94","3,931.50",
09-Feb-2021,"3,911.23",-4.36,-0.11%,"3,910.49","3,902.64","3,918.35",
08-Feb-2021,"3,915.59",+28.76,+0.74%,"3,892.59","3,892.59","3,915.77",
05-Feb-2021,"3,886.83",+15.09,+0.39%,"3,878.30","3,874.93","3,894.56",
04-Feb-2021,"3,871.74",+41.57,+1.09%,"3,836.66","3,836.66","3,872.42",
03-Feb-2021,"3,830.17",+3.86,+0.10%,"3,840.27","3,816.68","3,847.51",
02-Feb-2021,"3,826.31",+52.45,+1.39%,"3,791.84","3,791.84","3,843.09",
01-Feb-2021,"3,773.86",+59.62,+1.61%,"3,731.17","3,725.62","3,784.32",
29-Jan-2021,"3,714.24",-73.14,-1.93%,"3,778.05","3,694.12","3,778.05",
28-Jan-2021,"3,787.38",+36.61,+0.98%,"3,755.75","3,755.75","3,830.50",
27-Jan-2021,"3,750.77",-98.85,-2.57%,"3,836.83","3,732.48","3,836.83",
26-Jan-2021,"3,849.62",-5.74,-0.15%,"3,862.96","3,847.78","3,870.90",
25-Jan-2021,"3,855.36",+13.89,+0.36%,"3,851.68","3,797.16","3,859.23",
22-Jan-2021,"3,841.47",-11.60,-0.30%,"3,844.24","3,830.41","3,852.31",
21-Jan-2021,"3,853.07",+1.22,+0.03%,"3,857.46","3,845.05","3,861.45",
20-Jan-2021,"3,851.85",+52.94,+1.39%,"3,816.22","3,816.22","3,859.75",
19-Jan-2021,"3,798.91",+30.66,+0.81%,"3,781.88","3,780.37","3,804.53",
15-Jan-2021,"3,768.25",-27.29,-0.72%,"3,788.73","3,749.62","3,788.73",
14-Jan-2021,"3,795.54",-14.30,-0.38%,"3,814.98","3,792.86","3,823.60",
13-Jan-2021,"3,809.84",+8.65,+0.23%,"3,802.23","3,791.50","3,820.96",
12-Jan-2021,"3,801.19",+1.58,+0.04%,"3,801.62","3,776.51","3,810.78",
11-Jan-2021,"3,799.61",-25.07,-0.66%,"3,803.14","3,789.02","3,817.86",
08-Jan-2021,"3,824.68",+20.89,+0.55%,"3,815.05","3,783.60","3,826.69",
07-Jan-2021,"3,803.79",+55.65,+1.48%,"3,764.71","3,764.71","3,811.55",
06-Jan-2021,"3,748.14",+21.28,+0.57%,"3,712.20","3,705.34","3,783.04",
05-Jan-2021,"3,726.86",+26.21,+0.71%,"3,698.02","3,695.07","3,737.83",
04-Jan-2021,"3,700.65",-55.42,-1.48%,"3,764.61","3,662.71","3,769.99",
31-Dec-2020,"3,756.07",+24.03,+0.64%,"3,733.27","3,726.88","3,760.20",
30-Dec-2020,"3,732.04",+5.00,+0.13%,"3,736.19","3,730.21","3,744.63",
29-Dec-2020,"3,727.04",-8.32,-0.22%,"3,750.01","3,723.31","3,756.12",
28-Dec-2020,"3,735.36",+32.30,+0.87%,"3,723.03","3,723.03","3,740.51",
24-Dec-2020,"3,703.06",+13.05,+0.35%,"3,694.03","3,689.32","3,703.82",
23-Dec-2020,"3,690.01",+2.75,+0.07%,"3,693.42","3,689.28","3,711.24",
22-Dec-2020,"3,687.26",-7.66,-0.21%,"3,698.08","3,676.16","3,698.26",
21-Dec-2020,"3,694.92",-14.49,-0.39%,"3,684.28","3,636.48","3,702.90",
18-Dec-2020,"3,709.41",-13.07,-0.35%,"3,722.39","3,685.84","3,726.70",
17-Dec-2020,"3,722.48",+21.31,+0.58%,"3,713.65","3,710.87","3,725.12",
16-Dec-2020,"3,701.17",+6.55,+0.18%,"3,696.25","3,688.57","3,711.27",
15-Dec-2020,"3,694.62",+47.13,+1.29%,"3,666.41","3,659.62","3,695.29",
14-Dec-2020,"3,647.49",-15.97,-0.44%,"3,675.27","3,645.84","3,697.61",
11-Dec-2020,"3,663.46",-4.64,-0.13%,"3,656.08","3,633.40","3,665.91",
10-Dec-2020,"3,668.10",-4.72,-0.13%,"3,659.13","3,645.18","3,678.49",
09-Dec-2020,"3,672.82",-29.43,-0.79%,"3,705.98","3,660.54","3,712.39",
08-Dec-2020,"3,702.25",+10.29,+0.28%,"3,683.05","3,678.83","3,708.45",
07-Dec-2020,"3,691.96",-7.16,-0.19%,"3,694.73","3,678.88","3,697.41",
04-Dec-2020,"3,699.12",+32.40,+0.88%,"3,670.94","3,670.94","3,699.20",
03-Dec-2020,"3,666.72",-2.29,-0.06%,"3,668.28","3,657.17","3,682.73",
02-Dec-2020,"3,669.01",+6.56,+0.18%,"3,653.78","3,644.84","3,670.96",
01-Dec-2020,"3,662.45",+40.82,+1.13%,"3,645.87","3,645.87","3,678.45",
30-Nov-2020,"3,621.63",-16.72,-0.46%,"3,634.18","3,594.39","3,634.18",
27-Nov-2020,"3,638.35",+8.70,+0.24%,"3,638.55","3,629.33","3,644.31",
25-Nov-2020,"3,629.65",-5.76,-0.16%,"3,635.50","3,617.76","3,635.50",
24-Nov-2020,"3,635.41",+57.82,+1.62%,"3,594.52","3,594.52","3,642.31",
23-Nov-2020,"3,577.59",+20.05,+0.56%,"3,566.82","3,552.77","3,589.81",
20-Nov-2020,"3,557.54",-24.33,-0.68%,"3,579.31","3,556.85","3,581.23",
19-Nov-2020,"3,581.87",+14.08,+0.39%,"3,559.41","3,543.84","3,585.22",
18-Nov-2020,"3,567.79",-41.74,-1.16%,"3,612.09","3,567.33","3,619.09",
17-Nov-2020,"3,609.53",-17.38,-0.48%,"3,610.31","3,588.68","3,623.11",
16-Nov-2020,"3,626.91",+41.76,+1.16%,"3,600.16","3,600.16","3,628.51",
13-Nov-2020,"3,585.15",+48.14,+1.36%,"3,552.57","3,552.57","3,593.66",
12-Nov-2020,"3,537.01",-35.65,-1.00%,"3,562.67","3,518.58","3,569.02",
11-Nov-2020,"3,572.66",+27.13,+0.77%,"3,563.22","3,557.00","3,581.16",
10-Nov-2020,"3,545.53",-4.97,-0.14%,"3,543.26","3,511.91","3,557.22",
09-Nov-2020,"3,550.50",+41.06,+1.17%,"3,583.04","3,547.48","3,645.99",
06-Nov-2020,"3,509.44",-1.01,-0.03%,"3,508.34","3,484.34","3,521.58",
05-Nov-2020,"3,510.45",+67.01,+1.95%,"3,485.74","3,485.74","3,529.05",
04-Nov-2020,"3,443.44",+74.28,+2.20%,"3,406.46","3,405.17","3,486.25",
03-Nov-2020,"3,369.16",+58.92,+1.78%,"3,336.25","3,336.25","3,389.49",
02-Nov-2020,"3,310.24",+40.28,+1.23%,"3,296.20","3,279.74","3,330.14",
30-Oct-2020,"3,269.96",-40.15,-1.21%,"3,293.59","3,233.94","3,304.93",
29-Oct-2020,"3,310.11",+39.08,+1.19%,"3,277.17","3,259.82","3,341.05",
28-Oct-2020,"3,271.03",-119.65,-3.53%,"3,342.48","3,268.89","3,342.48",
27-Oct-2020,"3,390.68",-10.29,-0.30%,"3,403.15","3,388.71","3,409.51",
26-Oct-2020,"3,400.97",-64.42,-1.86%,"3,441.42","3,364.86","3,441.42",
23-Oct-2020,"3,465.39",+11.90,+0.34%,"3,464.90","3,440.45","3,466.46",
22-Oct-2020,"3,453.49",+17.93,+0.52%,"3,438.50","3,415.34","3,460.53",
21-Oct-2020,"3,435.56",-7.56,-0.22%,"3,439.91","3,433.06","3,464.86",
20-Oct-2020,"3,443.12",+16.20,+0.47%,"3,439.38","3,435.65","3,476.93",
19-Oct-2020,"3,426.92",-56.89,-1.63%,"3,493.66","3,419.93","3,502.42",
16-Oct-2020,"3,483.81",+0.47,+0.01%,"3,493.50","3,480.45","3,515.76",
15-Oct-2020,"3,483.34",-5.33,-0.15%,"3,453.72","3,440.89","3,489.08",
14-Oct-2020,"3,488.67",-23.26,-0.66%,"3,515.47","3,480.55","3,527.94",
13-Oct-2020,"3,511.93",-22.29,-0.63%,"3,534.01","3,500.86","3,534.01",
12-Oct-2020,"3,534.22",+57.09,+1.64%,"3,500.02","3,499.61","3,549.85",
09-Oct-2020,"3,477.13",+30.30,+0.88%,"3,459.67","3,458.07","3,482.34",
08-Oct-2020,"3,446.83",+27.38,+0.80%,"3,434.28","3,428.15","3,447.28",
07-Oct-2020,"3,419.45",+58.50,+1.74%,"3,384.56","3,384.56","3,426.26",
06-Oct-2020,"3,360.95",-47.68,-1.40%,"3,408.74","3,354.54","3,431.56",
05-Oct-2020,"3,408.63",+60.19,+1.80%,"3,367.27","3,367.27","3,409.57",
02-Oct-2020,"3,348.44",-32.36,-0.96%,"3,338.94","3,323.69","3,369.10",
01-Oct-2020,"3,380.80",+17.80,+0.53%,"3,385.87","3,361.39","3,397.18",
30-Sep-2020,"3,363.00",+27.53,+0.83%,"3,341.21","3,340.47","3,393.56",
29-Sep-2020,"3,335.47",-16.13,-0.48%,"3,350.92","3,327.54","3,357.92",
28-Sep-2020,"3,351.60",+53.14,+1.61%,"3,333.90","3,332.91","3,360.74",
25-Sep-2020,"3,298.46",+51.87,+1.60%,"3,236.66","3,228.44","3,306.88",
24-Sep-2020,"3,246.59",+9.67,+0.30%,"3,226.14","3,209.45","3,278.70",
23-Sep-2020,"3,236.92",-78.65,-2.37%,"3,320.11","3,232.57","3,323.35",
22-Sep-2020,"3,315.57",+34.51,+1.05%,"3,295.75","3,270.95","3,320.31",
21-Sep-2020,"3,281.06",-38.41,-1.16%,"3,285.57","3,229.10","3,285.57",
18-Sep-2020,"3,319.47",-37.54,-1.12%,"3,357.38","3,292.40","3,362.27",
17-Sep-2020,"3,357.01",-28.48,-0.84%,"3,346.86","3,328.82","3,375.17",
16-Sep-2020,"3,385.49",-15.71,-0.46%,"3,411.23","3,384.45","3,428.92",
15-Sep-2020,"3,401.20",+17.66,+0.52%,"3,407.73","3,389.25","3,419.48",
14-Sep-2020,"3,383.54",+42.57,+1.27%,"3,363.56","3,363.56","3,402.93",
11-Sep-2020,"3,340.97",+1.78,+0.05%,"3,352.70","3,310.47","3,368.95",
10-Sep-2020,"3,339.19",-59.77,-1.76%,"3,412.56","3,329.25","3,425.55",
09-Sep-2020,"3,398.96",+67.12,+2.01%,"3,369.82","3,366.84","3,424.77",
08-Sep-2020,"3,331.84",-95.12,-2.78%,"3,371.88","3,329.27","3,379.97",
04-Sep-2020,"3,426.96",-28.10,-0.81%,"3,453.60","3,349.63","3,479.15",
03-Sep-2020,"3,455.06",-125.78,-3.51%,"3,564.74","3,427.41","3,564.85",
02-Sep-2020,"3,580.84",+54.19,+1.54%,"3,543.76","3,535.23","3,588.11",
01-Sep-2020,"3,526.65",+26.34,+0.75%,"3,507.44","3,494.60","3,528.03",
31-Aug-2020,"3,500.31",-7.70,-0.22%,"3,509.73","3,493.25","3,514.77",
28-Aug-2020,"3,508.01",+23.46,+0.67%,"3,494.69","3,484.32","3,509.23",
27-Aug-2020,"3,484.55",+5.82,+0.17%,"3,485.14","3,468.35","3,501.38",
26-Aug-2020,"3,478.73",+35.11,+1.02%,"3,449.97","3,444.15","3,481.07",
25-Aug-2020,"3,443.62",+12.34,+0.36%,"3,435.95","3,425.84","3,444.21",
24-Aug-2020,"3,431.28",+34.12,+1.00%,"3,418.09","3,413.13","3,432.09",
21-Aug-2020,"3,397.16",+11.65,+0.34%,"3,386.01","3,379.31","3,399.96",
20-Aug-2020,"3,385.51",+10.66,+0.32%,"3,360.48","3,354.69","3,390.80",
19-Aug-2020,"3,374.85",-14.93,-0.44%,"3,392.51","3,369.66","3,399.54",
18-Aug-2020,"3,389.78",+7.79,+0.23%,"3,387.04","3,370.15","3,395.06",
17-Aug-2020,"3,381.99",+9.14,+0.27%,"3,380.86","3,379.22","3,387.59",
14-Aug-2020,"3,372.85",-0.58,-0.02%,"3,368.66","3,361.64","3,378.51",
13-Aug-2020,"3,373.43",-6.92,-0.20%,"3,372.95","3,363.35","3,387.24",
12-Aug-2020,"3,380.35",+46.66,+1.40%,"3,355.46","3,355.46","3,387.89",
11-Aug-2020,"3,333.69",-26.78,-0.80%,"3,370.34","3,326.44","3,381.01",
10-Aug-2020,"3,360.47",+9.19,+0.27%,"3,356.04","3,335.44","3,363.29",
07-Aug-2020,"3,351.28",+2.12,+0.06%,"3,340.05","3,328.72","3,352.54",
06-Aug-2020,"3,349.16",+21.39,+0.64%,"3,323.17","3,318.14","3,351.03",
05-Aug-2020,"3,327.77",+21.26,+0.64%,"3,317.37","3,317.37","3,330.77",
04-Aug-2020,"3,306.51",+11.90,+0.36%,"3,289.92","3,286.37","3,306.84",
03-Aug-2020,"3,294.61",+23.49,+0.72%,"3,288.26","3,284.53","3,302.73",
31-Jul-2020,"3,271.12",+24.90,+0.77%,"3,270.45","3,220.26","3,272.17",
30-Jul-2020,"3,246.22",-12.22,-0.38%,"3,231.76","3,204.13","3,250.92",
29-Jul-2020,"3,258.44",+40.00,+1.24%,"3,227.22","3,227.22","3,264.74",
28-Jul-2020,"3,218.44",-20.97,-0.65%,"3,234.27","3,216.17","3,243.72",
27-Jul-2020,"3,239.41",+23.78,+0.74%,"3,219.84","3,214.25","3,241.43",
24-Jul-2020,"3,215.63",-20.03,-0.62%,"3,218.58","3,200.05","3,227.26",
23-Jul-2020,"3,235.66",-40.36,-1.23%,"3,271.64","3,222.66","3,279.99",
22-Jul-2020,"3,276.02",+18.72,+0.57%,"3,254.86","3,253.10","3,279.32",
21-Jul-2020,"3,257.30",+5.46,+0.17%,"3,268.52","3,247.77","3,277.29",
20-Jul-2020,"3,251.84",+27.11,+0.84%,"3,224.29","3,215.16","3,258.61",
17-Jul-2020,"3,224.73",+9.16,+0.28%,"3,224.21","3,205.65","3,233.52",
16-Jul-2020,"3,215.57",-10.99,-0.34%,"3,208.36","3,198.59","3,220.39",
15-Jul-2020,"3,226.56",+29.04,+0.91%,"3,225.98","3,200.76","3,238.28",
14-Jul-2020,"3,197.52",+42.30,+1.34%,"3,141.11","3,127.66","3,200.95",
13-Jul-2020,"3,155.22",-29.82,-0.94%,"3,205.08","3,149.43","3,235.32",
10-Jul-2020,"3,185.04",+32.99,+1.05%,"3,152.47","3,136.22","3,186.82",
09-Jul-2020,"3,152.05",-17.89,-0.56%,"3,176.17","3,115.70","3,179.78",
08-Jul-2020,"3,169.94",+24.62,+0.78%,"3,153.07","3,136.53","3,171.80",
07-Jul-2020,"3,145.32",-34.40,-1.08%,"3,166.44","3,142.93","3,184.15",
06-Jul-2020,"3,179.72",+49.71,+1.59%,"3,155.29","3,155.29","3,182.59",
02-Jul-2020,"3,130.01",+14.15,+0.45%,"3,143.64","3,124.52","3,165.81",
01-Jul-2020,"3,115.86",+15.57,+0.50%,"3,105.92","3,101.17","3,128.44",
30-Jun-2020,"3,100.29",+47.05,+1.54%,"3,050.20","3,047.83","3,111.51",
29-Jun-2020,"3,053.24",+44.19,+1.47%,"3,018.59","2,999.74","3,053.89",
26-Jun-2020,"3,009.05",-74.71,-2.42%,"3,073.20","3,004.63","3,073.73",
25-Jun-2020,"3,083.76",+33.43,+1.10%,"3,046.60","3,024.01","3,086.25",
24-Jun-2020,"3,050.33",-80.96,-2.59%,"3,114.40","3,032.13","3,115.01",
23-Jun-2020,"3,131.29",+13.43,+0.43%,"3,138.70","3,127.12","3,154.90",
22-Jun-2020,"3,117.86",+20.12,+0.65%,"3,094.42","3,079.39","3,120.92",
19-Jun-2020,"3,097.74",-17.60,-0.56%,"3,140.29","3,083.11","3,155.53",
18-Jun-2020,"3,115.34",+1.85,+0.06%,"3,101.64","3,093.51","3,120.00",
17-Jun-2020,"3,113.49",-11.25,-0.36%,"3,136.13","3,108.03","3,141.16",
16-Jun-2020,"3,124.74",+58.15,+1.90%,"3,131.00","3,076.06","3,153.45",
15-Jun-2020,"3,066.59",+25.28,+0.83%,"2,993.76","2,965.66","3,079.76",
12-Jun-2020,"3,041.31",+39.21,+1.31%,"3,071.04","2,984.47","3,088.42",
11-Jun-2020,"3,002.10",-188.04,-5.89%,"3,123.53","2,999.49","3,123.53",
10-Jun-2020,"3,190.14",-17.04,-0.53%,"3,213.42","3,181.49","3,223.27",
09-Jun-2020,"3,207.18",-25.21,-0.78%,"3,213.32","3,193.11","3,222.71",
08-Jun-2020,"3,232.39",+38.46,+1.20%,"3,199.92","3,196.00","3,233.13",
05-Jun-2020,"3,193.93",+81.58,+2.62%,"3,163.84","3,163.84","3,211.72",
04-Jun-2020,"3,112.35",-10.52,-0.34%,"3,111.56","3,090.41","3,128.91",
