S&P 500 Index | Price History                                          17-Nov-2021 01:14,,,,,,,
,,,,,,,
,,,,,,,
.SPX,,,,,,,
Interval: Daily,,,,,,,
History Period: 16-Nov-2016 - 16-Nov-2021,,,,,,,
Currency Conversion: USD,,,,,,,
,,,,,,,
,,,,,,,
.SPX Statistics     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,"4,718.50",05-Nov-2021,Up,716,Up,+9.38%,24-Mar-2020
Low,"2,172.20",16-Nov-2016,Down,541,Down,-11.98%,16-Mar-2020
Avg,"3,060.78",,Unch,1,Period,+115.94%,16-Nov-2016 - 16-Nov-2021
,,,,,,,
,,,,,,,
.SPX History     Daily     16-Nov-2016 - 16-Nov-2021,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
18-Apr-2018,"2,708.64",+2.25,+0.08%,"2,710.11","2,703.63","2,717.49",
17-Apr-2018,"2,706.39",+28.55,+1.07%,"2,692.74","2,692.05","2,713.34",
16-Apr-2018,"2,677.84",+21.54,+0.81%,"2,670.10","2,665.16","2,686.49",
13-Apr-2018,"2,656.30",-7.69,-0.29%,"2,676.90","2,645.05","2,680.26",
12-Apr-2018,"2,663.99",+21.80,+0.83%,"2,653.83","2,653.83","2,674.72",
11-Apr-2018,"2,642.19",-14.68,-0.55%,"2,643.89","2,639.25","2,661.43",
10-Apr-2018,"2,656.87",+43.71,+1.67%,"2,638.41","2,635.78","2,665.45",
09-Apr-2018,"2,613.16",+8.69,+0.33%,"2,617.18","2,610.79","2,653.55",
06-Apr-2018,"2,604.47",-58.37,-2.19%,"2,645.82","2,586.27","2,656.88",
05-Apr-2018,"2,662.84",+18.15,+0.69%,"2,657.36","2,649.58","2,672.08",
04-Apr-2018,"2,644.69",+30.24,+1.16%,"2,584.04","2,573.61","2,649.86",
03-Apr-2018,"2,614.45",+32.57,+1.26%,"2,592.17","2,575.49","2,619.14",
02-Apr-2018,"2,581.88",-58.99,-2.23%,"2,633.45","2,553.80","2,638.30",
29-Mar-2018,"2,640.87",+35.87,+1.38%,"2,614.41","2,609.72","2,659.07",
28-Mar-2018,"2,605.00",-7.62,-0.29%,"2,611.30","2,593.06","2,632.65",
27-Mar-2018,"2,612.62",-45.93,-1.73%,"2,667.57","2,596.12","2,674.78",
26-Mar-2018,"2,658.55",+70.29,+2.72%,"2,619.35","2,601.81","2,661.36",
23-Mar-2018,"2,588.26",-55.43,-2.10%,"2,646.71","2,585.89","2,657.67",
22-Mar-2018,"2,643.69",-68.24,-2.52%,"2,691.36","2,641.59","2,695.68",
21-Mar-2018,"2,711.93",-5.01,-0.18%,"2,714.99","2,709.79","2,739.14",
20-Mar-2018,"2,716.94",+4.02,+0.15%,"2,715.05","2,710.05","2,724.22",
19-Mar-2018,"2,712.92",-39.09,-1.42%,"2,741.38","2,694.59","2,741.38",
16-Mar-2018,"2,752.01",+4.68,+0.17%,"2,750.57","2,749.97","2,761.85",
15-Mar-2018,"2,747.33",-2.15,-0.08%,"2,754.27","2,741.47","2,763.03",
14-Mar-2018,"2,749.48",-15.83,-0.57%,"2,774.06","2,744.38","2,777.11",
13-Mar-2018,"2,765.31",-17.71,-0.64%,"2,792.31","2,758.68","2,801.90",
12-Mar-2018,"2,783.02",-3.55,-0.13%,"2,790.54","2,779.26","2,796.98",
09-Mar-2018,"2,786.57",+47.60,+1.74%,"2,752.91","2,751.54","2,786.57",
08-Mar-2018,"2,738.97",+12.17,+0.45%,"2,732.75","2,722.65","2,740.45",
07-Mar-2018,"2,726.80",-1.32,-0.05%,"2,710.18","2,701.74","2,730.60",
06-Mar-2018,"2,728.12",+7.18,+0.26%,"2,730.18","2,711.26","2,732.08",
05-Mar-2018,"2,720.94",+29.69,+1.10%,"2,681.06","2,675.75","2,728.09",
02-Mar-2018,"2,691.25",+13.58,+0.51%,"2,658.89","2,647.32","2,696.25",
01-Mar-2018,"2,677.67",-36.16,-1.33%,"2,715.22","2,659.65","2,730.89",
28-Feb-2018,"2,713.83",-30.45,-1.11%,"2,753.78","2,713.54","2,761.52",
27-Feb-2018,"2,744.28",-35.32,-1.27%,"2,780.45","2,744.22","2,789.15",
26-Feb-2018,"2,779.60",+32.30,+1.18%,"2,757.37","2,753.78","2,780.64",
23-Feb-2018,"2,747.30",+43.34,+1.60%,"2,715.80","2,713.74","2,747.76",
22-Feb-2018,"2,703.96",+2.63,+0.10%,"2,710.42","2,697.77","2,731.26",
21-Feb-2018,"2,701.33",-14.93,-0.55%,"2,720.53","2,701.29","2,747.75",
20-Feb-2018,"2,716.26",-15.96,-0.58%,"2,722.99","2,706.76","2,737.60",
16-Feb-2018,"2,732.22",+1.02,+0.04%,"2,727.14","2,725.11","2,754.42",
15-Feb-2018,"2,731.20",+32.57,+1.21%,"2,713.46","2,689.82","2,731.51",
14-Feb-2018,"2,698.63",+35.69,+1.34%,"2,651.21","2,648.87","2,702.10",
